ID_Transformador,ano,mes,dia,count,mean,std,min,25%,50%,75%,max
1003951,2018,5,13,96.0,4446.207499999998,27.620116581940845,4398.48,4422.42,4446.51,4468.695,4494.66
1003951,2018,5,14,92.0,4542.7610869565215,30.22682854089566,4495.74,4516.47,4537.71,4567.965,4598.28
1003951,2018,5,15,73.0,4662.170958904111,42.58352929388649,4599.36,4614.54,4666.14,4697.34,4730.4
1003951,2018,5,16,83.0,4793.882891566265,36.85574372055751,4730.88,4762.889999999999,4789.14,4823.58,4860.78
1003951,2018,5,17,94.0,4917.224680851062,38.71569817762447,4862.1,4882.755,4910.22,4950.255,4989.66
1003951,2018,5,18,96.0,5046.5493750000005,37.52846767350159,4990.68,5012.1,5043.15,5079.405,5112.66
1003951,2018,5,19,96.0,5164.7875,34.81676211554608,5113.74,5133.375,5159.67,5194.68,5229.3
1003951,2018,5,20,90.0,5277.764,33.31604872912378,5230.38,5248.95,5271.39,5303.46,5342.76
1003951,2018,5,21,86.0,5393.290465116277,34.81795057343356,5343.96,5362.995000000001,5386.860000000001,5418.0,5462.88
1003951,2018,5,22,87.0,5518.973793103449,39.02890417404086,5464.14,5482.110000000001,5514.6,5551.5,5592.12
1003951,2018,5,23,96.0,5649.794375000002,38.45196031721714,5593.26,5615.22,5643.42,5684.715,5717.82
1003951,2018,5,24,96.0,5771.054999999999,35.47459117378757,5718.96,5739.959999999999,5766.780000000001,5799.015,5840.88
1003951,2018,5,25,93.0,5905.601290322578,40.87745363532653,5842.26,5869.62,5899.56,5939.16,5983.2
1003951,2018,5,26,96.0,6043.221875,35.62641859225436,5984.52,6012.0599999999995,6041.219999999999,6075.165,6103.02
1003951,2018,5,27,96.0,6160.552499999999,33.540910353901026,6104.28,6132.615,6158.97,6186.63,6224.4
1003951,2018,5,28,81.0,6297.30888888889,41.493504310915945,6225.72,6264.54,6293.34,6329.28,6370.44
1003951,2018,5,29,95.0,6429.920210526315,39.428064472407414,6371.58,6394.23,6424.92,6463.98,6500.34
1003951,2018,5,30,96.0,6557.603749999999,38.693936346668025,6501.48,6522.764999999999,6552.12,6591.4800000000005,6629.1
1003951,2018,5,31,96.0,6686.138750000003,36.97203082986126,6630.3,6654.06,6679.860000000001,6719.04,6754.98
1003951,2018,6,1,96.0,6821.6356250000035,45.6402356378552,6756.42,6782.565,6810.03,6863.955,6904.56
1003951,2018,6,2,96.0,6963.189375000001,34.521718192663656,6905.94,6932.97,6962.01,6992.775000000001,7023.78
1003951,2018,6,3,87.0,7078.908965517241,28.854711881330786,7025.04,7056.299999999999,7077.96,7101.54,7131.12
1003951,2018,6,4,96.0,7185.78875,31.66276442530926,7132.56,7159.35,7183.92,7209.93,7246.2
1003951,2018,6,5,96.0,7307.527499999999,44.08928054467854,7247.34,7267.395,7299.36,7345.334999999999,7390.14
1003951,2018,6,6,82.0,7456.01780487805,37.58416031033635,7388.16,7424.790000000001,7452.360000000001,7488.4349999999995,7520.58
1003951,2018,6,7,82.0,7580.115365853657,45.209309573214206,7521.66,7540.335000000001,7566.6900000000005,7624.530000000001,7661.52
1003951,2018,6,8,96.0,7726.419374999999,43.8433540258594,7662.84,7687.575,7720.77,7758.96,7812.24
1003951,2018,6,9,92.0,7869.428478260874,34.30974938925332,7813.86,7840.905,7866.959999999999,7893.705,7937.94
1003951,2018,6,10,1.0,7939.26,,7939.26,7939.26,7939.26,7939.26,7939.26
1008188,2018,4,8,82.0,26727.861219512197,82.62860649218342,26599.86,26659.005,26716.260000000002,26797.440000000002,26887.08
1008188,2018,6,4,85.0,46279.408235294126,114.54312971412061,46111.62,46175.64,46285.62,46373.76,46479.54
1009087,2018,4,8,86.0,16373.003720930235,106.08230387488572,16222.8,16289.94,16349.880000000001,16435.32,16594.24
1009087,2018,4,9,1.0,16598.16,,16598.16,16598.16,16598.16,16598.16,16598.16
1009087,2018,5,1,96.0,24734.46625000001,104.0339905309293,24576.32,24645.96,24721.260000000002,24815.47,24931.84
1009087,2018,5,2,79.0,25076.72556962026,106.95868528700795,24935.24,24987.5,25048.76,25160.1,25282.88
1009087,2018,5,3,86.0,25447.204186046507,102.05697860065405,25286.2,25365.060000000005,25435.02,25528.120000000003,25635.96
1009087,2018,5,4,82.0,25795.059999999994,109.5445371515763,25639.16,25694.370000000003,25799.98,25885.62,25990.52
1009087,2018,5,5,96.0,26148.35416666666,100.60622962470181,25994.2,26062.72,26136.239999999998,26224.620000000003,26343.04
1009087,2018,5,6,94.0,26505.17574468085,105.54402690870829,26346.72,26415.75,26488.2,26587.05,26704.28
1009087,2018,5,7,96.0,26854.601666666655,97.70080763192183,26707.28,26771.85,26841.559999999998,26929.379999999997,27041.6
1009087,2018,5,8,71.0,27148.721690140843,68.51994577151375,27044.84,27090.52,27141.52,27199.36,27334.04
1009087,2018,5,9,92.0,27544.76695652174,97.80168597548018,27400.72,27461.43,27531.68,27618.260000000002,27733.88
1009087,2018,5,10,96.0,27890.28583333334,101.90299403345563,27737.12,27802.71,27879.42,27967.739999999998,28086.68
1009087,2018,5,11,84.0,28258.129047619044,97.53099206682899,28089.92,28180.47,28254.4,28331.16,28436.0
1009087,2018,5,12,93.0,28596.240000000013,103.94294070180614,28439.44,28504.76,28587.0,28676.2,28792.72
1009087,2018,5,13,92.0,28958.774782608667,98.54614622153962,28796.48,28871.16,28949.8,29037.05,29139.32
1009087,2018,5,14,84.0,29275.350952380948,96.0908319990143,29142.92,29199.22,29253.8,29335.41,29485.64
1009087,2018,5,15,1.0,29489.04,,29489.04,29489.04,29489.04,29489.04,29489.04
1009788,2018,5,1,94.0,12364.880638297875,150.19935399119785,12132.68,12239.445,12346.65,12483.345,12646.06
1009788,2018,5,2,85.0,12901.827529411768,138.0815528514622,12651.08,12793.84,12890.7,13007.36,13155.44
1009788,2018,5,3,94.0,13380.977021276589,138.402296548708,13160.62,13265.420000000002,13370.21,13485.02,13647.92
1009788,2018,5,4,94.0,13899.914042553193,141.62154440407724,13674.96,13783.995,13885.76,14006.460000000001,14168.48
1009788,2018,5,5,83.0,14372.52506024096,128.14109886365168,14174.1,14263.849999999999,14342.46,14483.68,14603.94
1009788,2018,5,6,92.0,14864.102173913045,137.90354834365797,14651.58,14745.75,14845.84,14971.715,15120.38
1009788,2018,5,7,96.0,15334.689375000004,134.0605548000212,15125.02,15220.86,15321.220000000001,15437.67,15588.54
1009788,2018,5,8,83.0,15792.62048192771,124.68238860814785,15593.2,15676.060000000001,15794.18,15889.32,16024.14
1009788,2018,5,9,92.0,16287.357826086953,133.1686590675882,16081.54,16174.305,16273.04,16387.965,16538.72
1009788,2018,5,10,96.0,16755.351458333334,135.42829942137902,16543.34,16639.785,16745.309999999998,16859.059999999998,17013.54
1009788,2018,5,11,95.0,17236.48442105263,135.63369192240424,17018.96,17121.73,17228.76,17339.35,17491.84
1009788,2018,5,12,73.0,17708.730410958906,139.01468492011875,17497.46,17581.02,17702.14,17834.68,17945.9
